Title,Summary,Director,Writer,Main Genres,Motion Picture Rating,Release Year,Runtime (Minutes),Rating (Out of 10),Number of Ratings (in thousands),Budget (in millions),Gross in US & Canada (in millions),Gross worldwide (in millions),Opening Weekend in US & Canada,Gross Opening Weekend (in millions),box_office
The Crazies,"After a strange and insecure plane crash, an unusual toxic virus enters a quaint farming town. A young couple are quarantined, but they fight for survival along with help from a couple of people.",Breck Eisner,"Ray Wright,Scott Kosar,George A. Romero,George A. Romero(1973 motion picture ""The Crazies"")",Horror,R,2010.0,101.0,6.5,128.0,20.0,39.124,54.807,02.28.2010,16.068,19.124
Diary of a Mad Black Woman,A couple's seemingly solid marriage begins to crumble when the wife discovers that her husband intends to divorce her.,Darren Grant,,"Comedy,Drama,Romance",PG-13,2005.0,116.0,5.7,16.0,5.5,50.633,50.652,02.27.2005,21.905,45.133
The Texas Chainsaw Massacre 2,A radio host is victimized by the cannibal family as a former Texas Marshal hunts them.,Tobe Hooper,"Tobe Hooper,L.M. Kit Carson","Comedy,Horror",R,1986.0,101.0,5.6,37.0,4.7,8.026,8.026,08.24.1986,2.822,3.326
I'm Not There,"Ruminations on the life of Bob Dylan, where six characters embody a different aspect of the musician's life and work.",Todd Haynes,"Todd Haynes,Oren Moverman","Biography,Drama,Music",R,2007.0,135.0,6.8,61.0,20.0,4.018,11.793,11.25.2007,0.731,-15.982
Cat's Eye,A stray cat is the linking element of three tales of suspense and horror.,Lewis Teague,Stephen King,"Comedy,Horror,Thriller",PG-13,1985.0,94.0,6.3,28.0,7.0,13.086,13.086,04.14.1985,3.451,6.086
She's Having a Baby,Young newlyweds find out just how unprepared they are for their future together.,John Hughes,John Hughes,"Comedy,Drama,Romance",PG-13,1988.0,106.0,5.9,14.0,20.0,16.032,16.032,02.07.1988,3.828,-3.968
Leprechaun,"An evil, sadistic Leprechaun goes on a killing rampage in search of his beloved pot of gold.",Mark Jones,Mark Jones,"Comedy,Fantasy,Horror",R,1992.0,92.0,4.8,30.0,0.9,8.557,8.557,01.10.1993,2.493,7.657
Sphere,A spaceship is discovered under three hundred years' worth of coral growth at the bottom of the ocean.,Barry Levinson,"Kurt Wimmer,Michael Crichton,Stephen Hauser","Action,Mystery,Sci-Fi",PG-13,1998.0,134.0,6.1,111.0,80.0,37.02,37.02,02.15.1998,14.434,-42.98
Ghost Rider: Spirit of Vengeance,"Johnny Blaze, tortured by the Ghost Rider's curse, gets a chance of redemption through protecting the Devil's son, whose father is pursuing him.","Brian Taylor,Mark Neveldine","Scott M. Gimple,Seth Hoffman,David S. Goyer","Action,Fantasy,Thriller",PG-13,2011.0,96.0,4.3,125.0,57.0,51.774,132.564,02.19.2012,22.115,-5.225999999999999
Freeway,"A twisted take on ""Little Red Riding Hood"", with a teenage juvenile delinquent on the run from a social worker travelling to her grandmother's house and being hounded by a charming, but sadistic, serial killer and pedophile.",Matthew Bright,Matthew Bright,"Crime,Drama,Thriller",R,1996.0,102.0,6.8,31.0,3.0,0.295,0.295,08.25.1996,0.015,-2.705
The Orphanage,"A woman brings her family back to her childhood home, which used to be an orphanage for handicapped children. Before long, her son starts to communicate with an invisible new friend.",J.A. Bayona,Sergio G. Sánchez,"Drama,Horror,Mystery",R,2007.0,105.0,7.4,162.0,3.4,7.161,78.639,12.30.2007,0.233,3.761
The Prince and Me,"At college Paige meets Eddie, a student from Denmark, whom she first dislikes but later accepts, likes, and loves; he proves to be Crown Prince Edvard. Paige follows him to Copenhagen, and he follows her back to school with a plan.",Martha Coolidge,"Mark Amin,Jack Amiel,Katherine Fugate","Comedy,Family,Romance",PG,2004.0,111.0,5.8,41.0,22.0,28.176,37.667,04.04.2004,9.406,6.175999999999998
City of Ember,"For generations, the people of the City of Ember have flourished in an amazing world of glittering lights. But Ember's once powerful generator is failing and the great lamps that illuminate the city are starting to flicker.",Gil Kenan,"Jeanne Duprau,Caroline Thompson","Adventure,Drama,Family",PG,2008.0,90.0,6.4,69.0,55.0,7.873,17.93,10.12.2008,3.129,-47.127
The Watch,Four men who form a neighborhood watch group as a way to get out of their day-to-day family routines find themselves defending the Earth from an alien invasion.,Akiva Schaffer,"Evan Goldberg,Seth Rogen,Jared Stern","Comedy,Sci-Fi",R,2012.0,102.0,5.7,132.0,68.0,35.353,68.268,07.29.2012,12.75,-32.647
Drop Dead Fred,A young woman finds her already unstable life rocked by the presence of a rambunctious imaginary friend from childhood.,Ate de Jong,"Anthony Fingleton,Carlos Davis,Elizabeth Livingston","Comedy,Drama,Fantasy",PG-13,1991.0,103.0,5.9,31.0,6.788,13.878,13.878,05.27.1991,3.626,7.09
Bottle Rocket,Three friends plan to pull off a simple robbery and go on the run.,Wes Anderson,"Wes Anderson,Owen Wilson","Comedy,Crime,Drama",R,1996.0,91.0,6.9,82.0,7.0,0.56,0.56,02.25.1996,0.124,-6.44
Underworld: Rise of the Lycans,"A prequel centered on the origins of the centuries-old feud between the race of aristocratic vampires and their former slaves, the Lycans.",Patrick Tatopoulos,"Howard McCain,Danny McBride,Dirk Blackman","Action,Fantasy,Thriller",R,2009.0,92.0,6.5,166.0,35.0,45.802,92.159,01.25.2009,20.829,10.802
Dreamgirls,"A trio of black female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way.",Bill Condon,"Bill Condon,Tom Eyen","Drama,Music,Musical",PG-13,2006.0,130.0,6.6,76.0,70.0,103.366,155.43,12.17.2006,0.379,33.366
The Bounty Hunter,"A bounty hunter learns that his next target is his ex-wife, a reporter working on a murder cover-up. Soon after their reunion, the always-at-odds duo find themselves on a run-for-their-lives adventure.",Andy Tennant,Sarah Thorp,"Action,Comedy,Romance",PG-13,2010.0,110.0,5.5,133.0,40.0,67.061,136.334,03.21.2010,20.686,27.061000000000007
Unaccompanied Minors,A group of unaccompanied minors bond while snowed in at the midwestern Hoover International Airport during the holiday season and ultimately create a makeshift holiday themselves.,Paul Feig,"Jacob Meszaros,Mya Stark","Adventure,Comedy,Family",PG,2006.0,90.0,5.3,12.0,25.0,16.655,21.949,12.10.2006,5.815,-8.344999999999999
Mother,A mother desperately searches for the killer who framed her son for a girl's horrific murder.,Bong Joon Ho,"Eun-kyo Park,Bong Joon Ho","Crime,Drama,Mystery",R,2009.0,129.0,7.7,70.0,5.0,0.552,17.267,03.14.2010,0.036,-4.448
Fat Man and Little Boy,"This film reenacts the Manhattan Project, the secret WWII project, and the first atomic bombs designed, built, and tested in Los Alamos.",Roland Joffé,"Bruce Robinson,Roland Joffé","Biography,Drama,History",PG-13,1989.0,127.0,6.5,8.9,30.0,3.563,3.563,10.22.1989,1.477,-26.437
The Nutcracker,"On Christmas Eve, a little girl named Marie falls asleep after a party at her house and dreams of a fantastic world where toys become larger than life.",Emile Ardolino,Susan Cooper,"Family,Fantasy,Music",G,1993.0,92.0,5.8,2.3,19.0,2.12,2.12,11.28.1993,0.784,-16.88
Snow Day,"When a school in upstate New York is snowed in, a group of students hi-jack a plow to keep the school closed.",Chris Koch,"Chris Viscardi,Will McRobb","Adventure,Comedy,Family",PG,2000.0,89.0,5.1,13.0,13.0,60.02,62.465,02.13.2000,14.332,47.02
Nanny McPhee Returns,"Nanny McPhee arrives to help a harried young mother who is trying to run the family farm while her husband is away at war, though she uses her magic to teach the woman's children and their two spoiled cousins five new lessons.",Susanna White,"Emma Thompson,Christianna Brand","Comedy,Family,Fantasy",PG,2010.0,109.0,6.1,36.0,35.0,29.011,93.251,08.22.2010,8.408,-5.989000000000001
Pi,A paranoid mathematician searches for a key number that will unlock the universal patterns found in nature.,Darren Aronofsky,"Darren Aronofsky,Sean Gullette,Eric Watson","Drama,Horror,Mystery",R,1998.0,84.0,7.3,185.0,0.06,3.221,3.221,07.12.1998,0.031,3.161
Motherless Brooklyn,"In 1950s New York, a lonely private detective afflicted with Tourette's Syndrome ventures to solve the murder of his mentor and only friend.",Edward Norton,"Edward Norton,Jonathan Lethem","Crime,Drama,Mystery",R,2019.0,144.0,6.8,62.0,26.0,9.278,18.578,11.03.2019,3.5,-16.722
The Losers,"A CIA special forces team is betrayed and left for dead by their superiors, galvanizing them to mount an offensive on the CIA.",Sylvain White,"Peter Berg,James Vanderbilt,Andy Diggle","Action,Adventure,Comedy",PG-13,2010.0,97.0,6.2,106.0,25.0,23.591,29.398,04.25.2010,9.406,-1.408999999999999
3 Ninjas,"Each year, three brothers visit their grandfather for the summer. He is highly skilled in ninjutsu, and for years he has trained the boys in his techniques.",Jon Turteltaub,"Edward Emanuel,Kenny Kim","Action,Comedy,Family",PG,1992.0,84.0,5.3,23.0,6.5,29.0,29.0,08.09.1992,5.889,22.5
Night on Earth,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,Jim Jarmusch,Jim Jarmusch,"Comedy,Drama",R,1991.0,129.0,7.7,65.0,3.5,2.016,2.113,05.03.1992,0.034,-1.484
Pieces,The co-eds of a Boston college campus are targeted by a mysterious killer who is creating a human jigsaw puzzle from their body parts.,Juan Piquer Simón,"Dick Randall,Juan Piquer Simón,Juan Piquer Simón(uncredited),Roberto Loyola","Horror,Mystery,Thriller",R,1982.0,85.0,6.0,12.0,0.3,2.032,2.032,09.25.1983,0.605,1.732
Selma,"A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965.",Ava DuVernay,Paul Webb,"Biography,Drama,History",PG-13,2014.0,128.0,7.5,94.0,20.0,52.077,67.783,12.28.2014,0.571,32.077
The Kingdom,A team of U.S. government agents are sent to investigate the bombing of an American facility in the Middle East.,Peter Berg,Matthew Michael Carnahan,"Action,Drama,Thriller",R,2007.0,110.0,7.0,131.0,70.0,47.537,87.019,09.30.2007,17.135,-22.463
Pusher,A drug pusher grows increasingly desperate after a botched deal leaves him with a large debt to a ruthless drug lord.,Nicolas Winding Refn,"Jens Dahl,Nicolas Winding Refn","Crime,Thriller",R,1996.0,110.0,7.3,43.0,6.0,0.002,0.002,08.20.2006,0.002,-5.998
The Last Unicorn,A beautiful unicorn sets out to learn if she truly is the last of her kind in this sparkling animated musical.,"Jules Bass,Arthur Rankin Jr.",,"Animation,Adventure,Drama",G,1982.0,92.0,7.3,29.0,3.5,6.455,6.455,11.21.1982,2.25,2.955
Jungle 2 Jungle,"A man learns he has a thirteen-year-old son who was raised in the jungle and brings the boy to New York City, turning his life upside down in the process.",John Pasquin,"Igor Aptekman,Hervé Palud,Thierry Lhermitte","Comedy,Family",PG,1997.0,105.0,5.2,26.0,32.0,59.928,59.928,03.09.1997,12.812,27.928
The Box,"A small wooden box arrives on the doorstep of a married couple, who know that opening it will grant them a million dollars and kill someone they don't know.",Richard Kelly,"Richard Matheson,Richard Kelly","Drama,Mystery,Thriller",PG-13,2009.0,115.0,5.6,94.0,30.0,15.052,33.334,11.08.2009,7.571,-14.948
The General's Daughter,"When the daughter of a well-known and well-respected base commander is murdered, an undercover detective is summoned to look into the matter and finds a slew of cover-ups at West Point.",Simon West,"Nelson DeMille,William Goldman,Christopher Bertolini","Crime,Drama,Mystery",R,1999.0,116.0,6.4,63.0,95.0,102.706,149.706,06.20.1999,22.332,7.706000000000003
Bad Luck Banging or Loony Porn,"Emi, a school teacher, finds her career and reputation under threat after a personal sex tape is leaked on the Internet. Forced to meet the parents demanding her dismissal, Emi refuses to surrender to their pressure.",Radu Jude,Radu Jude,"Comedy,Drama",R,2021.0,106.0,6.5,9.9,0.93,0.072,0.476,11.21.2021,0.008,-0.8580000000000001
Doubt,A Catholic school principal questions a priest's ambiguous relationship with a troubled young student.,John Patrick Shanley,,"Drama,Mystery",PG-13,2008.0,104.0,7.5,135.0,20.0,33.446,51.7,12.14.2008,0.507,13.445999999999998
What If,"Wallace, who is burned out from a string of failed relationships, forms an instant bond with Chantry, who lives with her longtime boyfriend. Together, they puzzle out what it means if your best friend is also the love of your life.",Michael Dowse,"T.J. Dawe,Elan Mastai,Michael Rinaldi","Comedy,Romance",PG-13,2013.0,98.0,6.8,81.0,11.0,3.493,8.526,08.10.2014,0.134,-7.507
Broken Arrow,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,John Woo,Graham Yost,"Action,Adventure,Thriller",R,1996.0,108.0,6.1,104.0,50.0,70.77,150.27,02.11.1996,15.584,20.77
Cemetery Man,A cemetery man must kill the dead a second time when they become zombies.,Michele Soavi,"Gianni Romoli,Tiziano Sclavi","Comedy,Horror",R,1994.0,105.0,7.1,23.0,4.0,0.254,0.254,04.28.1996,0.022,-3.746
The Hurricane,"The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence.",Norman Jewison,"Sam Chaiton,Rubin 'Hurricane' Carter,Terry Swinton","Biography,Drama,Sport",R,1999.0,146.0,7.6,101.0,50.0,50.699,73.956,01.02.2000,0.385,0.6989999999999981
The Texas Chainsaw Massacre: The Beginning,"Before being sent to serve in Vietnam, two brothers and their girlfriends take one last road trip, but when they get into an accident, a terrifying experience will take them to a secluded house of horrors, with a chainsaw-wielding killer.",Jonathan Liebesman,"Sheldon Turner,David J. Schow",Horror,R,2006.0,91.0,5.8,76.0,16.0,39.518,51.764,10.08.2006,19.15,23.518
First Reformed,"A minister of a small congregation in upstate New York grapples with mounting despair brought on by tragedy, worldly concerns and a tormented past.",Paul Schrader,Paul Schrader,"Drama,Mystery,Thriller",R,2017.0,113.0,7.1,61.0,3.5,3.448,3.862,05.20.2018,0.098,-0.052
Carnage,"Two pairs of parents hold a cordial meeting after their sons are involved in a fight, though as their time together progresses, increasingly childish behavior throws the discussion into chaos.",Roman Polanski,"Roman Polanski,Michael Katims,Yasmina Reza","Comedy,Drama",R,2011.0,80.0,7.1,131.0,25.0,2.547,30.723,12.18.2011,0.08,-22.453
Arachnophobia,"A new species of South American killer spider hitches a lift to a small California town in a coffin and starts to breed, leaving a trail of deaths that puzzle and terrify the young doctor newly arrived in town with his family.",Frank Marshall,"Don Jakoby,Al Williams,Wesley Strick","Comedy,Horror,Thriller",PG-13,1990.0,109.0,6.5,75.0,22.0,53.208,53.208,07.22.1990,8.046,31.208
"Yours, Mine & Ours","A widowed Coast Guard Admiral and a widowed handbag designer fall in love and marry, much to the dismay of his 8 and her 10 children.",Raja Gosnell,"David Kidd,Melville Shavelson(1968 screenplay),Melville Shavelson,Ron Burch","Comedy,Family,Romance",PG,2005.0,88.0,5.5,30.0,45.0,53.413,72.663,11.27.2005,17.461,8.412999999999997
Spun,"A drug dealer introduces one of his customers, a 'speed freak', to the man who runs the meth lab. A crazy three-day adventure ensues.",Jonas Åkerlund,"Creighton Vero,Will De Los Santos","Comedy,Crime,Drama",R,2002.0,101.0,6.7,40.0,2.0,0.411,0.686,03.16.2003,0.015,-1.589
Mr. Right,"A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him.",Paco Cabezas,Max Landis,"Action,Comedy,Romance",R,2015.0,95.0,6.3,60.0,8.0,0.035,0.608,04.10.2016,0.025,-7.965
Inside Job,Takes a closer look at what brought about the 2008 financial meltdown.,Charles Ferguson,"Chad Beck,Adam Bolt,Charles Ferguson","Documentary,Crime",PG-13,2010.0,109.0,8.2,78.0,2.0,4.313,7.872,10.10.2010,0.04,2.313
Derailed,"When two married business executives having an affair are blackmailed by a violent criminal, the two must turn the tables on him to save their families.",Mikael Håfström,"Stuart Beattie,James Siegel","Crime,Drama,Thriller",R,2005.0,108.0,6.6,76.0,22.0,36.024,57.479,11.13.2005,12.212,14.024
Super,"After his wife falls under the influence of a drug dealer, an everyday guy transforms himself into Crimson Bolt, a superhero with the best intentions, but lacking in heroic skills.",James Gunn,James Gunn,"Action,Comedy,Crime",R,2010.0,96.0,6.7,83.0,2.5,0.328,0.423,04.03.2011,0.047,-2.172
